Flow cell,Illumina lane,Lib,BCNumber,BC,Lib_BC,individual,slide ID,Testis Sample,,Testis slide ID,,Ind-Slide-sample,seqsample
FC2,WTCHG_107220,11,3,BC3,Lib 11_3,3,D,7,,Testis 3D,D7,3D7,WTCHG_107220_03
FC2,WTCHG_107220,11,4,BC4,Lib 11_4,3,D,8,,Testis 3D,D8,3D8,WTCHG_107220_04
FC2,WTCHG_107220,11,5,BC5,Lib 11_5,3,D,9,,Testis 3D,D9,3D9,WTCHG_107220_05
FC2,WTCHG_107220,11,6,BC6,Lib 11_6,3,D,10,,Testis 3D,D10,3D10,WTCHG_107220_06
FC2,WTCHG_107220,11,7,BC7,Lib 11_7,3,D,11,,Testis 3D,D11,3D11,WTCHG_107220_07
FC2,WTCHG_107220,11,8,BC8,Lib 11_8,3,D,12,,Testis 3D,D12,3D12,WTCHG_107220_08
FC2,WTCHG_107220,11,9,BC9,Lib 11_9,3,D,13,,Testis 3D,D13,3D13,WTCHG_107220_09
FC2,WTCHG_107220,11,10,BC10,Lib 11_10,3,D,14,,Testis 3D,D14,3D14,WTCHG_107220_10
FC2,WTCHG_107220,11,11,BC11,Lib 11_11,3,D,15,,Testis 3D,D15,3D15,WTCHG_107220_11
FC2,WTCHG_107220,11,12,BC12,Lib 11_12,3,D,16,,Testis 3D,D16,3D16,WTCHG_107220_12
FC2,WTCHG_107220,11,13,BC13,Lib 11_13,3,D,17,,Testis 3D,D17,3D17,WTCHG_107220_13
FC2,WTCHG_107220,11,14,BC14,Lib 11_14,3,D,18,,Testis 3D,D18,3D18,WTCHG_107220_14
FC2,WTCHG_107220,11,15,BC15,Lib 11_15,3,D,19,,Testis 3D,D19,3D19,WTCHG_107220_15
FC2,WTCHG_107220,11,16,BC16,Lib 11_16,3,D,20,,Testis 3D,D20,3D20,WTCHG_107220_16
FC2,WTCHG_107220,11,17,BC17,Lib 11_17,3,D,21,,Testis 3D,D21,3D21,WTCHG_107220_17
FC2,WTCHG_107220,11,18,BC18,Lib 11_18,3,D,22,,Testis 3D,D22,3D22,WTCHG_107220_18
FC2,WTCHG_107221,12,1,BC1,Lib 12_1,3,D,23A,,Testis 3D,D23A,3D23A,WTCHG_107221_01
FC2,WTCHG_107221,12,2,BC2,Lib 12_2,3,D,24A,,Testis 3D,D24A,3D24A,WTCHG_107221_02
FC2,WTCHG_107221,12,3,BC3,Lib 12_3,3,D,25,,Testis 3D,D25,3D25,WTCHG_107221_03
FC2,WTCHG_107221,12,4,BC4,Lib 12_4,3,D,26,,Testis 3D,D26,3D26,WTCHG_107221_04
FC2,WTCHG_107221,12,5,BC5,Lib 12_5,3,D,27,,Testis 3D,D27,3D27,WTCHG_107221_05
FC2,WTCHG_107221,12,6,BC6,Lib 12_6,3,D,28,,Testis 3D,D28,3D28,WTCHG_107221_06
FC2,WTCHG_107221,12,7,BC7,Lib 12_7,3,D,29,,Testis 3D,D29,3D29,WTCHG_107221_07
FC2,WTCHG_107221,12,8,BC8,Lib 12_8,3,D,30,,Testis 3D,D30,3D30,WTCHG_107221_08
FC2,WTCHG_107221,12,9,BC9,Lib 12_9,3,D,31,,Testis 3D,D31,3D31,WTCHG_107221_09
FC2,WTCHG_107221,12,10,BC10,Lib 12_10,3,D,32,,Testis 3D,D32,3D32,WTCHG_107221_10
FC2,WTCHG_107221,12,11,BC11,Lib 12_11,5,J,1,,Testis 5J,J1,5J1,WTCHG_107221_11
FC2,WTCHG_107221,12,12,BC12,Lib 12_12,5,J,2,,Testis 5J,J2,5J2,WTCHG_107221_12
FC2,WTCHG_107221,12,13,BC13,Lib 12_13,5,J,3,,Testis 5J,J3,5J3,WTCHG_107221_13
FC2,WTCHG_107221,12,14,BC14,Lib 12_14,5,J,4,,Testis 5J,J4,5J4,WTCHG_107221_14
FC2,WTCHG_107221,12,15,BC15,Lib 12_15,5,J,5,,Testis 5J,J5,5J5,WTCHG_107221_15
FC2,WTCHG_107221,12,16,BC16,Lib 12_16,5,J,6,,Testis 5J,J6,5J6,WTCHG_107221_16
FC2,WTCHG_107221,12,17,BC17,Lib 12_17,5,J,9,,Testis 5J,J9,5J9,WTCHG_107221_17
FC2,WTCHG_107221,12,18,BC18,Lib 12_18,5,J,10,,Testis 5J,J10,5J10,WTCHG_107221_18
FC2,WTCHG_107222,13,1,BC1,Lib 13_1,5,J,11,,Testis 5J,J11,5J11,WTCHG_107222_01
FC2,WTCHG_107222,13,2,BC2,Lib 13_2,5,J,12,,Testis 5J,J12,5J12,WTCHG_107222_02
FC2,WTCHG_107222,13,3,BC3,Lib 13_3,5,J,16,,Testis 5J,J16,5J16,WTCHG_107222_03
